iteration,feature,train_split,model_params,mae,mse
1,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",9.980188703782341,176.57140346817974
2,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",10.13830428495607,181.68962900951476
3,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     3 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",10.665753483322852,214.6654771857453
4,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",9.836302969867612,167.64223755295023
5,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    1     2     3 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",9.93404564859416,172.0514885448985
6,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",10.539023243708895,198.798202410235
7,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.268783685596,194.5628587705634
8,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     2     3 ... 12608 12609 12610],"[100, 0.5, 5, 0.0005]",10.258036601575043,203.09907163676465
9,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",10.375424423078249,194.80970848385928
10,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 '98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12609 12611 12612],"[100, 0.5, 5, 0.0005]",10.126375810105742,182.63686748384333
