iteration,feature,train_split,model_params,mae,mse
1,[u'review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.361303407916477,209.6073741785336
2,[u'review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.534046048548822,221.5138341391569
3,[u'review_count'],[    0     1     3 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.817758663178761,248.6727710410897
4,[u'review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.158979278776668,201.74302127503614
5,[u'review_count'],[    1     2     3 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.267607767224847,207.25105792382948
6,[u'review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.44857303836592,229.6164555011192
7,[u'review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.434600425314935,223.0965098808584
8,[u'review_count'],[    0     2     3 ... 12608 12609 12610],"[200, 0.5, 10, 0.1]",11.176453533010022,228.20270777101697
9,[u'review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.616876284868303,234.54524686326582
10,[u'review_count'],[    0     1     2 ... 12609 12611 12612],"[100, 0.25, 10, 0.1]",11.274803427472554,212.03291012531582
1,[u'non_positive_review_count'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.1]",11.345945761510581,209.78438575446023
2,[u'non_positive_review_count'],[    0     1     2 ... 12610 12611 12612],"[200, 0.5, 10, 0.1]",11.551446339584944,222.12916206595287
3,[u'non_positive_review_count'],[    0     1     3 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.80993137485089,247.92681741204723
4,[u'non_positive_review_count'],[    0     1     2 ... 12610 12611 12612],"[500, 0.25, 5, 0.01]",11.157851700301752,201.6309203331736
5,[u'non_positive_review_count'],[    1     2     3 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.260019172926091,207.33817580808662
6,[u'non_positive_review_count'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.1]",11.432346446850362,229.4940969749881
7,[u'non_positive_review_count'],[    0     1     2 ... 12610 12611 12612],"[100, 0.25, 10, 0.1]",11.410540068589325,222.1000599453698
8,[u'non_positive_review_count'],[    0     2     3 ... 12608 12609 12610],"[100, 0.25, 10, 0.1]",11.18736643781522,228.08401052790745
9,[u'non_positive_review_count'],[    0     1     2 ... 12610 12611 12612],"[200, 0.5, 10, 0.1]",11.625135703570443,234.874264789399
10,[u'non_positive_review_count'],[    0     1     2 ... 12609 12611 12612],"[100, 0.25, 10, 0.1]",11.279887321703992,212.3054741008744
1,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.183149567207403,178.4304512975357
